# id	name	level	title	reason
897	Elizabeth Andersen	local	School Board Member, District 2	no-trusted-result
898	Cindy Pearson	local	School Board Member, District 3	no-trusted-result
899	Warren Jones	local	School Board Member, District 5	no-trusted-result
900	Charlotte Joyce	local	School Board Member, District 6	no-trusted-result
901	April Scott	local	School Board Member, District 7	no-trusted-result
902	Debbie Jordan	local	School Board Chair, District 1	no-trusted-result
904	Chris Patricca	local	School Board Member, District 3	no-trusted-result
905	Jada Langford-Fleming	local	School Board Member, District 4	no-trusted-result
906	Sam Fisher	local	School Board Member, District 5	no-trusted-result
907	Armor Persons	local	School Board Member, District 6	no-trusted-result
908	Betsy Vaughn	local	School Board Member, District 7	no-trusted-result
910	Tommy Allen	local	School Board Member, District 2	no-trusted-result
911	Patrick Canan	local	School Board Member, District 3	no-trusted-result
913	Bill Mignon	local	School Board Member, District 5	no-trusted-result
914	Jamie Haynes	local	School Board Chair, District 1	no-trusted-result
915	Anita Burnette	local	School Board Member, District 2	no-trusted-result
916	Carl Persis	local	School Board Member, District 3	no-trusted-result
917	Ruben Colón	local	School Board Member, District 4	no-trusted-result
919	Luisa Santos	local	School Board Member, District 1	no-trusted-result
921	Lucia Baez-Geller	local	School Board Chair, District 3	no-trusted-result
922	Marta Pérez	local	School Board Member, District 4	no-trusted-result
924	Steve Gallon III	local	School Board Vice Chair, District 6	no-trusted-result
925	Lubby Navarro	local	School Board Member, District 7	no-trusted-result
927	Danny Espino	local	School Board Member, District 9	no-trusted-result
928	Lisa Cane	local	School Board Chair, District 1	no-trusted-result
934	Eileen Long	local	School Board Member, District 7	no-trusted-result
935	Kay Fields	local	School Board Chair, District 1	no-trusted-result
937	Lisa Miller	local	School Board Member, District 3	no-trusted-result
938	Lori Cunningham	local	School Board Member, District 4	no-trusted-result
939	Billy Townsend	local	School Board Member, District 5	no-trusted-result
940	Lynn Wilson	local	School Board Member, District 6	no-trusted-result
941	Rick Nolte	local	School Board Member, District 7	no-trusted-result
942	Megan Wright	local	School Board Chair, District 1	no-trusted-result
943	Gene Trent	local	School Board Member, District 2	no-trusted-result
944	Jennifer Jenkins	local	School Board Member, District 3	no-trusted-result
945	Matt Susin	local	School Board Member, District 4	no-trusted-result
946	Katye Campbell	local	School Board Member, District 5	no-trusted-result
947	Kristine Kraus	local	School Board Member, District 1	no-trusted-result
950	Tina Calderone	local	School Board Chair, District 4	no-trusted-result
952	Jerry Gibson	local	School Board Chair, District 1	no-trusted-result
953	Stephanie Lucarelli	local	School Board Member, District 2	no-trusted-result
954	Kelly Lichter	local	School Board Member, District 3	no-trusted-result
957	Tom Edwards	local	School Board Chair, District 1	no-trusted-result
958	Karen Rose	local	School Board Member, District 2	no-trusted-result
959	Bridget Ziegler	local	School Board Member, District 3	no-trusted-result
960	Robyn Marinelli	local	School Board Member, District 4	no-trusted-result
961	Timothy Enos	local	School Board Member, District 5	no-trusted-result
962	Chad Choate	local	School Board Chair, District 1	no-trusted-result
963	Mary Foreman	local	School Board Member, District 2	no-trusted-result
964	James Golden	local	School Board Member, District 3	no-trusted-result
965	Richard Tatem	local	School Board Member, District 4	no-trusted-result
966	Cindy Spray	local	School Board Member, District 5	no-trusted-result
968	James Washington	local	School Board Member, District 2	no-trusted-result
971	Ally Bernstein	local	School Board Member, District 5	no-trusted-result
972	Terry Castillo	local	School Board Chair, District 1	no-trusted-result
973	Kelvin Soto	local	School Board Member, District 2	no-trusted-result
974	Tim Weisheyer	local	School Board Member, District 3	no-trusted-result
975	Julius Melendez	local	School Board Member, District 4	no-trusted-result
976	Ricky Booth	local	School Board Member, District 5	no-trusted-result
980	Shelley Hilliard	local	School Board Member, District 4	no-trusted-result
982	Tina Certain	local	School Board Chair, District 1	no-trusted-result
983	Diyonne McGraw	local	School Board Member, District 2	no-trusted-result
984	Mildred Russell	local	School Board Member, District 3	no-trusted-result
987	Alex Stemle	local	School Board Chair, District 1	no-trusted-result
